uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,family,nativeStatusCode,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,publicationDate,release
b64ae682-49a5-4c32-80d2-67c48396889b,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],1,Y,AUWA,Setophaga coronata auduboni,subspecies,"",Parulidae,N,17,singing,Yes,Male,1,,LDERD,20201223T141931Z,RELEASE-2021
95259b8b-f1da-4e45-8b99-b8fe27f39500,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],4,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,84,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
2e1b3eae-a671-4d2e-a1ba-2767e632684d,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],1,Y,DEJU,Junco hyemalis,species,Dark-eyed Junco,Emberizidae,N,28,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
7caa1b03-499f-4e83-95c4-7b4b7c17791c,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],6,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
a697d884-a723-48b0-bce4-8fdd9d64aef0,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,98,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
dcbd75ef-8198-4f20-b86f-67c7b1f143db,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A2,2019-07-03T12:17Z,NIWO_031.A2.2019-07-03T06:17-06:00[US/Mountain],4,Y,PISI,Spinus pinus,species,Pine Siskin,Fringillidae,N,61,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
e1a338d2-3d22-4c12-8dc1-3fa93a0181d5,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,82,calling and singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
571e3c48-6117-4625-9517-2f86a49571c7,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],1,Y,YRWA,Setophaga coronata,species,Yellow-rumped Warbler,Parulidae,N,41,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
5f4f0344-d1aa-4e70-b7e7-75dea133ae50,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],5,Y,BRCR,Certhia americana,species,Brown Creeper,Certhiidae,N,19,visual,Yes,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
e3111a2d-e1c9-4a58-a63b-85838f3616cc,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],3,Y,YRWA,Setophaga coronata,species,Yellow-rumped Warbler,Parulidae,N,62,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
